Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-01 00:00:00-04:00,222.82000732421875,222.82000732421875,219.07000732421875,220.5800018310547,1396300,0.0,0.0
2025-08-04 00:00:00-04:00,222.83999633789062,226.38999938964844,221.6199951171875,225.99000549316406,1875300,0.0,0.0
2025-08-05 00:00:00-04:00,226.17999267578125,227.99000549316406,225.41000366210938,225.9199981689453,1398000,0.0,0.0
2025-08-06 00:00:00-04:00,226.66000366210938,227.6699981689453,224.0,227.2100067138672,1544400,0.0,0.0
2025-08-07 00:00:00-04:00,227.75,228.50999450683594,222.3800048828125,226.49000549316406,2267100,0.0,0.0
2025-08-08 00:00:00-04:00,237.52000427246094,239.13999938964844,216.33999633789062,217.3699951171875,5619200,0.0,0.0
2025-08-11 00:00:00-04:00,219.36000061035156,226.57000732421875,218.39999389648438,222.6699981689453,3191100,0.0,0.0
2025-08-12 00:00:00-04:00,224.44000244140625,232.77999877929688,224.1999969482422,232.55999755859375,2440000,0.0,0.0
2025-08-13 00:00:00-04:00,233.2899932861328,236.24000549316406,230.6999969482422,236.13999938964844,2105700,0.0,0.0
2025-08-14 00:00:00-04:00,235.3000030517578,238.38999938964844,232.1999969482422,233.16000366210938,1688700,0.0,0.0
2025-08-15 00:00:00-04:00,233.64999389648438,233.64999389648438,229.58999633789062,232.17999267578125,1376600,0.0,0.0
2025-08-18 00:00:00-04:00,233.47000122070312,235.60000610351562,231.52000427246094,232.5500030517578,1428600,0.0,0.0
2025-08-19 00:00:00-04:00,232.10000610351562,232.4499969482422,227.75,228.36000061035156,1366200,0.0,0.0
2025-08-20 00:00:00-04:00,227.3800048828125,229.4499969482422,225.5399932861328,228.6699981689453,1327300,0.0,0.0
2025-08-21 00:00:00-04:00,227.47000122070312,228.7899932861328,226.27999877929688,227.8699951171875,950500,0.0,0.0
2025-08-22 00:00:00-04:00,228.6699981689453,230.07000732421875,226.75,229.02999877929688,1089300,0.0,0.0
2025-08-25 00:00:00-04:00,228.6699981689453,232.99000549316406,228.5,231.8300018310547,1187900,0.0,0.0
2025-08-26 00:00:00-04:00,231.36000061035156,233.5500030517578,230.3300018310547,230.82000732421875,2165300,0.0,0.0
2025-08-27 00:00:00-04:00,230.52000427246094,232.33999633789062,228.75,232.02999877929688,1030000,0.0,0.0
2025-08-28 00:00:00-04:00,230.63999938964844,235.02999877929688,230.63999938964844,234.89999389648438,1127100,0.0,0.0
2025-08-29 00:00:00-04:00,234.27999877929688,235.99000549316406,232.61000061035156,233.27000427246094,989000,0.0,0.0
2025-09-02 00:00:00-04:00,231.16000366210938,241.0800018310547,229.3300018310547,240.9499969482422,1860300,0.0,0.0
2025-09-03 00:00:00-04:00,241.0,242.3000030517578,237.02999877929688,238.86000061035156,1208700,0.0,0.0
2025-09-04 00:00:00-04:00,238.52999877929688,240.83999633789062,237.3699951171875,240.64999389648438,915400,0.0,0.0
2025-09-05 00:00:00-04:00,242.0,242.69000244140625,236.94000244140625,239.67999267578125,979400,0.0,0.0
